Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SP3 Final Bank Garansi,Chrome 149.0.7827.53,,,10-06-2026 15:29:56,10-06-2026 15:33:28,3m - 32.428s,FAILED
,,,,,,,
Test Cases/BRISURF UI/Menu Channel/Bank Garansi/01 SP3 Maker,Chrome 149.0.7827.53,,,10-06-2026 15:29:57,10-06-2026 15:31:09,1m - 12.261s,PASSED
"openBrowser(""https://dev-app-brisurf.brins.co.id/"")",Chrome 149.0.7827.53,,,10-06-2026 15:29:59,10-06-2026 15:30:10,11.344s,PASSED
"setText(findTestObject(""BRISURF UI/Custom/Login/username""), ""barkah"")",Chrome 149.0.7827.53,,,10-06-2026 15:30:10,10-06-2026 15:30:11,1.132s,PASSED
"setText(findTestObject(""BRISURF UI/Custom/Login/password""), ""Agan12345"")",Chrome 149.0.7827.53,,,10-06-2026 15:30:11,10-06-2026 15:30:12,0.732s,PASSED
"click(findTestObject(""BRISURF UI/Custom/Login/btn login""))",Chrome 149.0.7827.53,,,10-06-2026 15:30:12,10-06-2026 15:30:12,0.526s,PASSED
delay(5),Chrome 149.0.7827.53,,,10-06-2026 15:30:12,10-06-2026 15:30:17,5.112s,PASSED
"click(findTestObject(""BRISURF UI/Custom/Welcome Page/Slide""))",Chrome 149.0.7827.53,,,10-06-2026 15:30:17,10-06-2026 15:30:18,0.623s,PASSED
"click(findTestObject(""BRISURF UI/Custom/Welcome Page/opsiMenu""))",Chrome 149.0.7827.53,,,10-06-2026 15:30:18,10-06-2026 15:30:22,4.051s,PASSED
"click(findTestObject(""BRISURF UI/Custom/Menu Channel/Maker/Create Maker/closeBarAjax""))",Chrome 149.0.7827.53,,,10-06-2026 15:30:22,10-06-2026 15:30:24,1.481s,PASSED
"click(findTestObject(""BRISURF UI/Custom/Menu Channel/Maker/Create Maker/channelMenu""))",Chrome 149.0.7827.53,,,10-06-2026 15:30:24,10-06-2026 15:30:24,0.443s,PASSED
delay(1),Chrome 149.0.7827.53,,,10-06-2026 15:30:24,10-06-2026 15:30:25,1.014s,PASSED
"executeJavaScript(""
    var dropdowns = document.querySelectorAll('ul.dropdown-menu');

    dropdowns.forEach(function(el){
        el.style.display='block';
    });
"", null)",Chrome 149.0.7827.53,,,10-06-2026 15:30:25,10-06-2026 15:30:25,0.101s,PASSED
delay(3),Chrome 149.0.7827.53,,,10-06-2026 15:30:25,10-06-2026 15:30:28,3.011s,PASSED
"scrollToElement(findTestObject(""BRISURF UI/Custom/Menu Channel/Maker/Create Maker/bankGaransiMenu""), 0)",Chrome 149.0.7827.53,,,10-06-2026 15:30:28,10-06-2026 15:30:29,0.378s,PASSED
"click(findTestObject(""BRISURF UI/Custom/Menu Channel/Maker/Create Maker/sp3Menu""))",Chrome 149.0.7827.53,,,10-06-2026 15:30:29,10-06-2026 15:30:36,7.015s,PASSED
delay(3),Chrome 149.0.7827.53,,,10-06-2026 15:30:36,10-06-2026 15:30:39,3.017s,PASSED
"scrollToElement(findTestObject(""BRISURF UI/Custom/Menu Channel/Maker/Create Maker/ikonCeklis""), 0)",Chrome 149.0.7827.53,,,10-06-2026 15:30:39,10-06-2026 15:30:39,0.301s,PASSED
delay(5),Chrome 149.0.7827.53,,,10-06-2026 15:30:39,10-06-2026 15:30:44,5.014s,PASSED
"click(findTestObject(""BRISURF UI/Custom/Menu Channel/Maker/Create Maker/ikonCeklis""))",Chrome 149.0.7827.53,,,10-06-2026 15:30:44,10-06-2026 15:30:44,0.433s,PASSED
"click(findTestObject(""BRISURF UI/Custom/Menu Channel/Pengajuan SP3/dropdownDokumen""))",Chrome 149.0.7827.53,,,10-06-2026 15:30:44,10-06-2026 15:30:54,10.100s,PASSED
"uploadFile(findTestObject(""BRISURF UI/Custom/Menu Channel/Pengajuan SP3/uploadDokumen""), ""C:\Users\ACER\Downloads\Sample Dokumen\BN57673UNDFL-0202SMG0725..pdf"")",Chrome 149.0.7827.53,,,10-06-2026 15:30:54,10-06-2026 15:30:55,0.399s,PASSED
"click(findTestObject(""BRISURF UI/Custom/Menu Channel/Pengajuan SP3/dropdownKewenangan""))",Chrome 149.0.7827.53,,,10-06-2026 15:30:55,10-06-2026 15:31:05,10.082s,PASSED
