Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_PembukuanSemiOtomatis,Chrome 152.0.7977.65,,,03-09-2026 10:05:14,03-09-2026 10:07:33,2m - 18.952s,PASSED
,,,,,,,
Test Cases/BRISURF UI/Menu Proses/Upload Rekening Koran/PembukuanAutomatic_Maker,Chrome 152.0.7977.65,,,03-09-2026 10:05:15,03-09-2026 10:06:04,49.519s,PASSED
"openBrowser(""https://dev-app-brisurf.brins.co.id/"")",Chrome 152.0.7977.65,,,03-09-2026 10:05:15,03-09-2026 10:05:23,8.271s,PASSED
"setText(findTestObject(""BRISURF UI/Custom/Login/username""), ""Azkarik"")",Chrome 152.0.7977.65,,,03-09-2026 10:05:23,03-09-2026 10:05:24,1.302s,PASSED
"setText(findTestObject(""BRISURF UI/Custom/Login/password""), ""Agan12345"")",Chrome 152.0.7977.65,,,03-09-2026 10:05:24,03-09-2026 10:05:25,1.019s,PASSED
"click(findTestObject(""BRISURF UI/Custom/Login/btn login""))",Chrome 152.0.7977.65,,,03-09-2026 10:05:25,03-09-2026 10:05:26,0.518s,PASSED
delay(5),Chrome 152.0.7977.65,,,03-09-2026 10:05:26,03-09-2026 10:05:31,5.052s,PASSED
"click(findTestObject(""BRISURF UI/Custom/Welcome Page/opsiMenu""))",Chrome 152.0.7977.65,,,03-09-2026 10:05:31,03-09-2026 10:05:36,4.575s,PASSED
"click(findTestObject(""BRISURF UI/Custom/Menu Proses/Menu/prosesMenu""))",Chrome 152.0.7977.65,,,03-09-2026 10:05:36,03-09-2026 10:05:37,1.728s,PASSED
"scrollToElement(findTestObject(""BRISURF UI/Custom/Menu Proses/Menu/MenuUploadRekKoran""), 0, STOP_ON_FAILURE)",Chrome 152.0.7977.65,,,03-09-2026 10:05:37,03-09-2026 10:05:38,0.505s,PASSED
"click(findTestObject(""BRISURF UI/Custom/Menu Proses/Menu/MenuUploadRekKoran""))",Chrome 152.0.7977.65,,,03-09-2026 10:05:38,03-09-2026 10:05:43,5.610s,PASSED
"click(findTestObject(""BRISURF UI/Custom/Menu Proses/Tab Import CMS/dropdownBranch""))",Chrome 152.0.7977.65,,,03-09-2026 10:05:43,03-09-2026 10:05:45,1.415s,PASSED
"setText(findTestObject(""BRISURF UI/Custom/Menu Proses/Tab Import CMS/InputBranch""), ""Makassar"")",Chrome 152.0.7977.65,,,03-09-2026 10:05:45,03-09-2026 10:05:46,1.201s,PASSED
"sendKeys(findTestObject(""BRISURF UI/Custom/Menu Proses/Tab Import CMS/InputBranch""), Keys.chord(ENTER))",Chrome 152.0.7977.65,,,03-09-2026 10:05:46,03-09-2026 10:05:47,0.610s,PASSED
"setText(findTestObject(""BRISURF UI/Custom/Menu Proses/Tab Import CMS/InputName""), ""Automation 3"")",Chrome 152.0.7977.65,,,03-09-2026 10:05:47,03-09-2026 10:05:48,1.222s,PASSED
