Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FBI_Detail,Chrome 152.0.7977.83,,,14-09-2026 08:58:30,14-09-2026 09:00:26,1m - 56.022s,PASSED
,,,,,,,
Test Cases/DATA UI/Login/Login_BrinsBook,Chrome 152.0.7977.83,,,14-09-2026 08:58:31,14-09-2026 08:59:04,32.771s,PASSED
projectDir = getProjectDir(),Chrome 152.0.7977.83,,,14-09-2026 08:58:31,14-09-2026 08:58:31,0.006s,PASSED
"timestamp = Date().format(""dd.MM.yyyy_(HH.mm.ss)"")",Chrome 152.0.7977.83,,,14-09-2026 08:58:31,14-09-2026 08:58:31,0.031s,PASSED
"openBrowser(""http://192.168.140.18:8000/login/"")",Chrome 152.0.7977.83,,,14-09-2026 08:58:31,14-09-2026 08:58:37,5.828s,PASSED
"setText(findTestObject(""Data UI/Login/inputUsername""), ""test"")",Chrome 152.0.7977.83,,,14-09-2026 08:58:37,14-09-2026 08:58:39,1.870s,PASSED
"setText(findTestObject(""Data UI/Login/inputPassword""), ""passwordSalah"")",Chrome 152.0.7977.83,,,14-09-2026 08:58:39,14-09-2026 08:58:40,1.416s,PASSED
"click(findTestObject(""Data UI/Login/btnPortal""))",Chrome 152.0.7977.83,,,14-09-2026 08:58:40,14-09-2026 08:58:42,1.274s,PASSED
delay(2),Chrome 152.0.7977.83,,,14-09-2026 08:58:42,14-09-2026 08:58:44,2.078s,PASSED
"loginFailed = verifyTextPresent(""IndexError at /login/"", false, OPTIONAL)",Chrome 152.0.7977.83,,,14-09-2026 08:58:44,14-09-2026 08:58:44,0.466s,WARNING
if (loginFailed),Chrome 152.0.7977.83,,,14-09-2026 08:58:44,14-09-2026 08:58:44,0.004s,PASSED
else,Chrome 152.0.7977.83,,,14-09-2026 08:58:44,14-09-2026 08:58:44,0.017s,PASSED
back(),Chrome 152.0.7977.83,,,14-09-2026 08:58:44,14-09-2026 08:58:44,0.169s,PASSED
delay(3),Chrome 152.0.7977.83,,,14-09-2026 08:58:44,14-09-2026 08:58:47,3.022s,PASSED
"click(findTestObject(""Data UI/Login/btnForceLogout1""))",Chrome 152.0.7977.83,,,14-09-2026 08:58:47,14-09-2026 08:58:48,0.795s,PASSED
"setText(findTestObject(""Data UI/Login/inputUsernameForce""), ""TTECH-0251"")",Chrome 152.0.7977.83,,,14-09-2026 08:58:48,14-09-2026 08:58:50,1.527s,PASSED
"click(findTestObject(""Data UI/Login/btnForceLogout2""))",Chrome 152.0.7977.83,,,14-09-2026 08:58:50,14-09-2026 08:58:51,0.877s,PASSED
"setText(findTestObject(""Data UI/Login/inputUsername""), ""TTECH-0251"")",Chrome 152.0.7977.83,,,14-09-2026 08:58:51,14-09-2026 08:58:52,1.559s,PASSED
"setText(findTestObject(""Data UI/Login/inputPassword""), ""qwerty123"")",Chrome 152.0.7977.83,,,14-09-2026 08:58:52,14-09-2026 08:58:53,1.374s,PASSED
