Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Dashboard_Performance_Asmik,Chrome 153.0.8010.48,,,22-09-2026 11:37:31,22-09-2026 11:39:35,2m - 3.666s,PASSED
,,,,,,,
Test Cases/DATA UI/BrinsAsmik/Login/Login_Asmik,Chrome 153.0.8010.48,,,22-09-2026 11:37:32,22-09-2026 11:38:46,1m - 14.145s,PASSED
projectDir = getProjectDir(),Chrome 153.0.8010.48,,,22-09-2026 11:37:32,22-09-2026 11:37:32,0.006s,PASSED
"timestamp = Date().format(""dd.MM.yyyy_(HH.mm.ss)"")",Chrome 153.0.8010.48,,,22-09-2026 11:37:32,22-09-2026 11:37:32,0.028s,PASSED
"openBrowser(""https://mis.brins.co.id/"")",Chrome 153.0.8010.48,,,22-09-2026 11:37:32,22-09-2026 11:37:41,9.565s,PASSED
"setText(findTestObject(""Data UI/BrinsAsmik/Login/inputUsername""), ""testing"")",Chrome 153.0.8010.48,,,22-09-2026 11:37:41,22-09-2026 11:37:44,2.766s,PASSED
"setText(findTestObject(""Data UI/BrinsAsmik/Login/inputPassword""), ""passwordSalah"")",Chrome 153.0.8010.48,,,22-09-2026 11:37:44,22-09-2026 11:37:45,1.217s,PASSED
"click(findTestObject(""Data UI/BrinsAsmik/Login/btnSignIn""))",Chrome 153.0.8010.48,,,22-09-2026 11:37:45,22-09-2026 11:37:46,0.644s,PASSED
delay(50),Chrome 153.0.8010.48,,,22-09-2026 11:37:46,22-09-2026 11:38:36,50.060s,PASSED
"verifyElementVisible(findTestObject(""Data UI/BrinsAsmik/Login/secInvalidLogin""))",Chrome 153.0.8010.48,,,22-09-2026 11:38:36,22-09-2026 11:38:36,0.386s,PASSED
screenshotPathFailed = $projectDir/Screenshots/Evidence_NEGATIVE_Login Brins ASMIK_$timestamp.png,Chrome 153.0.8010.48,,,22-09-2026 11:38:36,22-09-2026 11:38:36,0.033s,PASSED
takeScreenshot(screenshotPathFailed),Chrome 153.0.8010.48,,,22-09-2026 11:38:36,22-09-2026 11:38:37,0.403s,PASSED
refresh(),Chrome 153.0.8010.48,,,22-09-2026 11:38:37,22-09-2026 11:38:38,0.737s,PASSED
"click(findTestObject(""Data UI/BrinsAsmik/Login/inputUsername""))",Chrome 153.0.8010.48,,,22-09-2026 11:38:38,22-09-2026 11:38:39,0.901s,PASSED
"setText(findTestObject(""Data UI/BrinsAsmik/Login/inputUsername""), ""creator_2"")",Chrome 153.0.8010.48,,,22-09-2026 11:38:39,22-09-2026 11:38:40,1.375s,PASSED
